traits	lat	long
DQ431700WG213_Hs_2004	37.78	-122.46
DQ080059_Pn_2003	38.58	-121.49
WG149_Hs_2007.63	34.24	-118.52
WG080_Hs_2004.56	34.22	-118.44
WG132_Hs_2005.76	33.95	-118.2
WG103_Hs_2005.58	33.85	-118.15
WG116_Hs_2005.65	33.84	-118.08
DQ080054_Cq_2003	34.48	-118.08
DQ080057_Cb_2003	34.13	-118.05
DQ080058_Cb_2003	34.13	-118.05
DQ431710WG244_Hs_2004.58	33.94	-117.95
WG148_Hs_2007.59	34.1	-117.91
WG024_Hs_2003.53	33.81	-117.83
WG101_Hs_2005.57	33.95	-117.73
DQ431709WG240_Hs_2004.54	34.06	-117.67
DQ431708WG238_Hs_2004.54	32.73	-117.17
WG091_Hs_2004.66	34.14	-117.15
WG099_Hs_2004.49	34.04	-117.02
DQ080060_Cc_2004	30.3	-114.94
DQ080063_Cl_2003	30.3	-114.94
DQ080064_Fa_2003	30.3	-114.94
DQ080065_Qq_2003	30.3	-114.94
DQ080066_Px_2003	30.3	-114.94
DQ080067_Bvs_2003	30.3	-114.94
DQ080068_Ah_2003	30.3	-114.94
DQ080055_Ct_2003	32.94	-114.9
DQ080056_Ct_2003	32.94	-114.9
DQ080052_Ct_2003	33.38	-112.57
DQ431712WG252_Hs_2004.57	33.41	-111.93
DQ431711WG251_Hs_2004	33.41	-111.93
DQ164201_Hs_2004	34.17	-111.93
DQ666448_Hs_2004	34.17	-111.93
DQ666451_Hs_2005	34.17	-111.93
DQ080070_Qq_2003	29.35	-111.68
DQ005530_Hs_2003	39.5	-111.55
WG124_Hs_2005.69	32.31	-111.21
WG144_Hs_2006.67	32.24	-110.92
DQ080051_Ct_2003	31.75	-110.02
DQ080053_Ct_2003	35.61	-109.46
DQ431704WG219_Hs_2004.57	39.07	-108.54
DQ431703WG218_Hs_2004.57	39.07	-108.54
DQ431702WG216_Hs_2004.57	39.07	-108.54
DQ431701WG214_Hs_2004.53	39.07	-108.54
WG009_Hs_2005.67	32.28	-106.74
DQ431707WG237_Hs_2004.58	35.2	-106.64
DQ431706WG236_Hs_2004.57	35.2	-106.64
WG007_Hs_2005.59	31.82	-106.56
WG013_Hs_2007.48	31.84	-106.53
WG011_Hs_2006.66	31.78	-106.5
DQ164204_Bj_2003	39	-105.55
DQ164203_Ph_2003	39	-105.55
DQ431705WG233_Hs_2004.52	44.07	-103.21
