traits	lat	long
M210_libraryX|Primate_Callithrix_geoffroyi|MinasGerais_ValedoRioDoce|19-01-2017	-18.665877	-43.081628
BC40_library5_48BC|RJ185|Human|SaoJoaoEvangelista-MG|22-01-2017	-18.496839	-42.797966
M211_libraryX|Primate_AlouattaFuscaClamitans|MinasGerais_ValedoRioDoce|13-01-2017	-18.221348	-42.498513
BC13_library5_48BC|RJ143|NHP|BeloHorizonte-MG|24-01-2017	-18.221348	-42.498513
BC85_library5_48BC|RJ153|NHP|FelicianoDosSantos-MG|24-01-2017	-18.077954	-43.247826
M58_libraryYIBRA8|Human|MinasGerais_Itambaquri|28-01-2017	-18.034092	-41.683337
FioRJ|465|Human|MinasGerais_Itambacuri|30-01-2017	-18.034092	-41.683337
M26_library5and6|Human|SaoCaetanoDoSul_Itambacuri_MinasGerais_Brazil|07-01-2017	-18.034092	-41.683337
M18_library2|Human|MinasGerais_Itambacuri|21-01-2017	-18.034092	-41.683337
M123_libraryYIBRA8|Human|MinasGerais_Itambaquri|27-01-2017	-18.034092	-41.683337
BC30_library5_48BC|RJ148|Human|TeofiloOtoni-MG|24-01-2017	-17.860009	-41.509104
M98_library6|Human|MinasGerais|TeofiloOtoni|10-01-2017	-17.860009	-41.509104
BC64_library5_48BC|RJ157|Human|TeofiloOtoni-MG|05-02-2017	-17.860009	-41.509104
M35_library3|Human|MinasGerais_TeofiloOtoni|20-01-2017	-17.860009	-41.509104
BC42_library5_48BC|RJ150|Human|TeofiloOtoni-MG|27-01-2017	-17.860009	-41.509104
M99_library6|Human|MinasGerais|TeofiloOtoni|21-01-2017	-17.860009	-41.509104
FioRJ|480|Human|MinasGerais_TeofiloOtoni|28-01-2017	-17.860009	-41.509104
BC73_library5_48BC|RJ151|NHP|Itamarandiba-MG|13-01-2017	-17.857298	-42.858392
M43_libraryY|Human|MinasGerais_Pote|18-01-2017	-17.808172	-41.786433
M47_libraryY|Human|MinasGerais|Setubinha|19-01-2017	-17.609593	-42.134466
M83_library3|Primate_Callitrix|MinasGerais_Ladainha|09-02-2017	-17.598197	-41.800441
M17_library1|Human|MinasGerais_Ladainha|14-01-2017	-17.598197	-41.800441
M100_library6|Human|MinasGerais|Ladainha|02-01-2017	-17.598197	-41.800441
M68_libraryYIBRA8|Human|MinasGerais_Ladainha|28-01-2017	-17.598197	-41.800441
M96_library5and6|Human|MinasGerais|Ladainha|19-01-2017	-17.598197	-41.800441
M48_library4|Human|MinasGerais_Ladainha|07-01-2017	-17.598197	-41.800441
M107_library4|Human|MinasGerais|NovoCruzeiro|30-01-2017	-17.432895	-41.998972
M51_libraryYIBRA8|Human|MinasGerais_NovoCruzeiro|18-01-2017	-17.432895	-41.998972
FioRJ|460|Human|MinasGerais_NovoCruzeiro|30-01-2017	-17.432895	-41.998972
M25_library1|Human|MinasGerais_NovoCruzeiro|25-01-2017	-17.432895	-41.998972
M36_library3|MinasGerais|NovoCruzeiro|14-01-2017	-17.432895	-41.998972
FioRJ|532|Monkey|MinasGerais_CoronelMurta|13-01-2017	-16.588013	-42.196772
BC38_library5_48BC|RJ162|NHP|ChapadaGaucha-MG|23-01-2017	-15.569408	-45.374536
M217_libraryX|Primate_CebidaeSpp|MinaisGerais_NorteDeMinas|25-01-2017	-15.507141	-45.397458
FioRJ|Library9YIBRA_M218_2176|Primate|Bahia|10-03-2017	-15.037801	-41.934681
