traits	lat	long
DQ431694WG022_Hs_2003.62	34.65	-102.75
DQ431693WG020_Hs_2003.60	35.08	-102.05
DQ176637_Qq_2002	34.45	-100.69
DQ666452_Hs_2005	44.22	-100.25
DQ164199_Hs_2003	31.17	-100.08
DQ164198_Hs_2002	31.17	-100.08
DQ164205_Hs_2002	31.17	-100.08
DQ666449_Hs_2005	31.17	-100.08
DQ666450_Hs_2005	31.17	-100.08
DQ080069_Ec_2003	24.93	-98.64
WG142_Hs_2006.64	41.26	-96.12
DQ164206_Cc_2004	29.77	-95.31
AY712945_Zm_2003	29.74	-95.31
AY712946_Cc_2003	29.74	-95.31
AY712948_Cq_2003	29.74	-95.31
AY712947_Cc_2003	29.74	-95.31
AY289214_Hs_2002.62	30.07	-94.11
DQ080061_Ccs_2004	29.94	-91.87
DQ080062_Cx_2002	29.94	-91.87
DQ431696WG104_Hs_2003.70	43.04	-87.91
DQ431695WG082_Hs_2003	42.08	-87.82
DQ164200_Hs_2002	39.77	-86.44
AY795965_Hs_2002	43.74	-84.63
DQ164196_Hs_2002	32.68	-83.25
DQ164197_Hs_2002	32.68	-83.25
DQ164202_Hs_2002	40.19	-82.67
DQ431699WG124_Hs_2003.73	27.98	-82.34
DQ431698WG120_Hs_2003.65	27.98	-82.34
DQ431697WG113_Hs_2003.56	27.98	-82.34
DQ080071_Ec_2002	28.7	-82.0
DQ983578_Cn_2003	27.64	-80.68
DQ080072_Dc_2001	26.69	-80.04
DQ164191_Cb_2003	42.23	-79.52
AF404753_Cb_2000	39.43	-76.78
AF404755_Bu_2000	43.46	-76.24
DQ164187_Cb_2002	42.19	-75.88
AY646354_Hs_2002	42.76	-75.82
AF202541_Hs_1999.66	42.76	-75.82
AF404754_Cp_2000	40.95	-74.07
DQ164192_Cb_2003	41.16	-73.99
AF404756_Cb_2000	41.16	-73.99
FJ151394_Cb_1999	40.77	-73.99
AF196835_Pc_1999.71	40.77	-73.96
AF260967_Ec_1999	40.77	-73.96
DQ164189_Cb_2003	42.55	-73.94
DQ164186_Cb_2002	40.74	-73.79
DQ164188_Cb_2003	41.13	-73.79
DQ164193_Cb_2002	44.85	-73.66
DQ164195_Cx_2002	40.67	-73.56
AF533540_Hs_2001.71	40.67	-73.56
DQ164190_Cb_2003	40.95	-72.64
DQ164194_Cb_2001	40.95	-72.64
DQ080055_Ct_2003	32.94	-114.9
WG091_Hs_2004.66	34.14	-117.15
DQ431703WG218_Hs_2004.57	39.07	-108.54
DQ080059_Pn_2003	38.58	-121.49
DQ080066_Px_2003	30.3	-114.94
WG080_Hs_2004.56	34.22	-118.44
WG009_Hs_2005.67	32.28	-106.74
DQ080070_Qq_2003	29.35	-111.68
DQ666448_Hs_2004	34.17	-111.93
DQ080054_Cq_2003	34.48	-118.08
WG024_Hs_2003.53	33.81	-117.83
DQ431704WG219_Hs_2004.57	39.07	-108.54
DQ431708WG238_Hs_2004.54	32.73	-117.17
DQ080068_Ah_2003	30.3	-114.94
DQ431707WG237_Hs_2004.58	35.2	-106.64
DQ080052_Ct_2003	33.38	-112.57
DQ080057_Cb_2003	34.13	-118.05
WG007_Hs_2005.59	31.82	-106.56
WG149_Hs_2007.63	34.24	-118.52
WG013_Hs_2007.48	31.84	-106.53
