traits	lat	long
DQ431694WG022_Hs_2003.62	34.65	-102.75
DQ431693WG020_Hs_2003.60	35.08	-102.05
DQ176637_Qq_2002	34.45	-100.69
DQ666452_Hs_2005	44.22	-100.25
DQ164199_Hs_2003	31.17	-100.08
DQ164198_Hs_2002	31.17	-100.08
DQ164205_Hs_2002	31.17	-100.08
DQ666449_Hs_2005	31.17	-100.08
DQ666450_Hs_2005	31.17	-100.08
DQ080069_Ec_2003	24.93	-98.64
WG142_Hs_2006.64	41.26	-96.12
DQ164206_Cc_2004	29.77	-95.31
AY712945_Zm_2003	29.74	-95.31
AY712946_Cc_2003	29.74	-95.31
AY712948_Cq_2003	29.74	-95.31
AY712947_Cc_2003	29.74	-95.31
AY289214_Hs_2002.62	30.07	-94.11
DQ080061_Ccs_2004	29.94	-91.87
DQ080062_Cx_2002	29.94	-91.87
DQ431696WG104_Hs_2003.70	43.04	-87.91
DQ431695WG082_Hs_2003	42.08	-87.82
DQ164200_Hs_2002	39.77	-86.44
AY795965_Hs_2002	43.74	-84.63
DQ164196_Hs_2002	32.68	-83.25
DQ164197_Hs_2002	32.68	-83.25
DQ164202_Hs_2002	40.19	-82.67
DQ431699WG124_Hs_2003.73	27.98	-82.34
DQ431698WG120_Hs_2003.65	27.98	-82.34
DQ431697WG113_Hs_2003.56	27.98	-82.34
DQ080071_Ec_2002	28.7	-82.0
DQ983578_Cn_2003	27.64	-80.68
DQ080072_Dc_2001	26.69	-80.04
DQ164191_Cb_2003	42.23	-79.52
AF404753_Cb_2000	39.43	-76.78
AF404755_Bu_2000	43.46	-76.24
DQ164187_Cb_2002	42.19	-75.88
AY646354_Hs_2002	42.76	-75.82
AF202541_Hs_1999.66	42.76	-75.82
AF404754_Cp_2000	40.95	-74.07
DQ164192_Cb_2003	41.16	-73.99
AF404756_Cb_2000	41.16	-73.99
FJ151394_Cb_1999	40.77	-73.99
AF196835_Pc_1999.71	40.77	-73.96
AF260967_Ec_1999	40.77	-73.96
DQ164189_Cb_2003	42.55	-73.94
DQ164186_Cb_2002	40.74	-73.79
DQ164188_Cb_2003	41.13	-73.79
DQ164193_Cb_2002	44.85	-73.66
DQ164195_Cx_2002	40.67	-73.56
AF533540_Hs_2001.71	40.67	-73.56
DQ164190_Cb_2003	40.95	-72.64
DQ164194_Cb_2001	40.95	-72.64
