
# before rand glnL: -31750.220977 alnL: -1334.273531
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.003838
# true mu: 0.028577
# true rad: 42.265711
# true sigsq: 0.439785
# true neigh. size: 69.986503
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 218007 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -31750.220977 alnL: -1334.273531
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.003838
# start mu: 0.028577
# start rad: 8.158987
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52705.1	-1334.27	-5830.79	-1481.89	0.00818984	1	0.139417	14.3454	0.22033	0.0341084	19.7956	5.18121	264	99	115	-26057.8	81.3436f	71.7147	4	1	1	0	0	0	0	0	0	0	0	0.954545	0.854369	0.262712	0.405405	0.546296	0	0	0	1	0.133333	0.224138	1	1	1	1	1	1.5	11.3906	0.666667	85.8398	76.6474	65.0617	76.8776	81.3436	71.7147	
  2000	-54965.3	-1334.27	-8090.99	-2148.87	0.014068	1	0.128061	15.6176	0.34764	0.030225	19.7956	3.57498	418	99	136	-26057.8	43.1824f	82.9439	4	1	1	0	0	0	0	0	0	0	0	0.881818	0.875	0.216	0.5	0.655172	0	0	0	1	0.0952381	0.242647	1	1	1	1	1	2.25	656.841	0.666667	85.8398	76.6474	65.0617	76.8776	43.1824	82.9439	
  3000	-57759.5	-1334.27	-10885.2	-2894.3	0.0250117	1	0.136042	14.7013	0.656596	0.0201947	19.7956	1.78175	608	99	160	-26057.8	75.3657f	58.0973	4	1	1	0	0	0	0	0	0	0	0	0.872727	0.823529	0.333333	0.526316	0.717949	0	0	0	1	0.142857	0.20625	1	1	1	1	1	7.59375	431440	2.25	67.794	99.1571	65.0617	76.8776	75.3657	58.0973	
  4000	-59006.9	-1334.27	-12132.6	-3226.1	0.0251013	1	0.133736	14.9548	0.64778	0.0376612	19.7956	1.83714	698	99	170	-26057.8	35.8623f	86.0074	4	1	1	0	0	0	0	0	0	0	0	0.872727	0.928571	0.214286	0.523364	0.787234	0	0	0	1	0.114286	0.183432	1	1	1	1	1	38.4434	4.25081e+08	194.62	67.794	99.1571	68.3069	72.2216	35.8623	86.0074	
  5000	-60011	-1334.27	-13136.8	-3479.12	0.0264071	1	0.152261	13.1354	0.74127	0.0299765	19.5711	1.41012	768	99	183	-26057.8	63.3069f	81.7058	4	1	1	0.227723	0	0	0	0	0	0	0	0.818182	0.929936	0.217949	0.482143	0.803797	0	0	0	1	0.115385	0.234973	0.666667	1	1	1	1	86.4976	3.18038e+12	656.841	94.2777	69.5086	68.3069	72.2216	63.3069	81.7058	
  6000	-60820	-1334.27	-13945.8	-3674.52	0.0332893	1	0.164926	12.1266	1.02117	0.0271566	19.6143	0.944998	825	99	191	-26057.8	81.071f	38.9065	4	1	1	0.227723	0	0	0	0	0	0	0	0.918182	0.882353	0.213018	0.541667	0.710843	0	0	0	1	0.136905	0.204082	0.666667	1	1	1	1	194.62	4.12643e+14	11222.7	94.2777	69.5086	68.3069	72.2216	81.071	38.9065	
  7000	-63086.3	-1334.27	-16212	-4204.79	0.0373666	1	0.151861	13.17	1.05544	0.0438823	19.6143	0.992983	983	99	212	-26057.8	79.0926f	83.3264	4	1	1	0.227723	0.267327	0.0594059	0	0	0	0	0	0.9	0.907216	0.298969	0.535714	0.809278	0	0.148515	0	1	0.180412	0.264151	0.666667	0.666667	1.5	1	1	656.841	6.09842e+17	191751	94.2777	69.5086	68.3069	72.2216	79.0926	83.3264	
  8000	-64285.4	-1334.27	-17411.2	-4486.72	0.0424182	1	0.162033	12.3432	1.34594	0.0240078	19.8685	0.729779	1070	99	224	-26057.8	67.2416f	74.2053	4	1	1	0.227723	0.267327	0.0594059	0	0	0	0	0	0.854545	0.880734	0.229358	0.622807	0.807339	0	0.148515	0.049505	1	0.138889	0.211712	0.666667	0.666667	1.5	1	1	2216.84	1e+20	7.37155e+06	94.2777	69.5086	68.3069	72.2216	67.2416	74.2053	
  9000	-65185.4	-1334.27	-18311.1	-4597.77	0.0412117	1	0.17322	11.546	1.42721	0.0503444	19.9717	0.643776	1105	99	267	-26057.8	98.4731f	48.2891	4	1	1	0.227723	0.267327	0.0594059	0	0	0	0	0	0.854545	0.892857	0.185841	0.623762	0.758929	0	0.148515	0.049505	1	0.1875	0.188889	0.666667	0.666667	1.5	1	1	7481.83	1e+20	2.15197e+09	94.2777	69.5086	75.3504	53.3844	98.4731	48.2891	
 10000	-65396.2	-1334.27	-18521.9	-4726.6	0.0427587	1	0.151328	13.2163	1.19796	0.0167141	19.5917	0.877926	1146	99	241	-26057.8	72.5296f	53.2719	4	1	1	0.178218	0.267327	0.0594059	0	0	0	0	0	0.881818	0.913793	0.267241	0.525862	0.741379	0	0.148515	0.049505	1	0.13913	0.214286	0.444444	0.666667	1.5	1	1	25251.2	1e+20	1.4135e+12	68.9154	83.3175	75.3504	53.3844	72.5296	53.2719	
 11000	-66077	-1334.27	-19202.7	-4875.64	0.0444731	1	0.159839	12.5126	1.329	0.024331	19.6397	0.749225	1194	99	246	-26057.8	72.3652f	70.3895	4	1	1	0.178218	0.267327	0.0594059	0	0	0	0	0	0.854545	0.916667	0.289256	0.475728	0.741667	0	0.148515	0.049505	1	0.116667	0.2	0.444444	0.666667	1.5	1	1	25251.2	1e+20	1.4135e+12	83.4362	96.3989	75.3504	53.3844	72.3652	70.3895	
