
# before rand glnL: -34431.708968 alnL: -1327.343411
# ninter: 99
# ncoal: 99
# nhits: 99
# true lbda: 0.003339
# true mu: 0.884485
# true rad: 13.831894
# true sigsq: 0.135842
# true neigh. size: 2.261203
# fst-based estimate of neighborhood size: -nan
# nucleotide diversity: 0.000000
# length of a generation: 1886.59 time units
# clock rate: 1 subst. per time unit
# after rand glnL: -34431.708968 alnL: -1327.343411
# ninter: 99
# ncoal: 99
# nhits: 99
# start lbda: 0.003339
# start mu: 0.884485
# start rad: 16.901384
sample	lnP	alnL	glnL	tlnL	lbda	clock	mu	neigh	sigsq	sigsqobs	rad	rhoe	nInt	nCoal	nHit	rootTime	rootLon	rootLat	tstv	alpha	MeanBr	accLbda	accMu	accRad	accInDelDisk	accInDelHit	accScaleTime	accSPR	accSPRlocal	accPath	accIndelDiskSerial	accIndelHitSerial	accLdskGivenDisk	accDiskGivenLdsk	accDiskAndLdsk	accLdskMulti	accDiskMulti	accMoveDiskUD	accAddRemoveJump	accLdskTipToRoot	tuneLbda	tuneRad	tuneMu	tuneIndelDisk	tuneIndelHit	tuneLdskGivenDisk	tuneIndelDiskSerial	tuneIndelHitSerial	c0	c1	rootc0	rootc1	rootldsk0	rootldsk1	
  1000	-52650.6	-1327.34	-5783.24	-1456.14	0.00867499	1	0.171963	11.6304	0.298567	0.0331559	19.9771	3.09987	252	99	123	-29949.8	11.3271f	33.8053	4	1	1	0	0	0	0	0	0	0	0	0.936364	0.798319	0.171171	0.380952	0.627273	0	0	0	1	0.191667	0.217742	1	1	1	1	1	1.5	7.59375	3.375	13.6	48.1836	11.8888	28.69	11.3271	33.8053	
  2000	-54757.6	-1327.34	-7890.22	-2104.79	0.0112841	1	0.171963	11.6304	0.388365	0.0156933	19.9771	2.38312	394	99	142	-29949.8	32.8236f	66.4846	4	1	1	0	0	0	0	0	0	0	0	0.945455	0.889831	0.25641	0.460177	0.62037	0	0	0	1	0.15	0.352518	1	1	1	1	1	5.0625	656.841	25.6289	13.6	48.1836	11.8888	28.69	32.8236	66.4846	
  3000	-56898.5	-1327.34	-10031.1	-2709.47	0.0169621	1	0.169927	11.7698	0.576874	0.0670438	19.9771	1.62359	540	99	159	-29949.8	1.58598f	10.9425	4	1	1	0	0	0	0	0	0	0	0	0.909091	0.87156	0.309091	0.587156	0.706422	0	0	0	1	0.172727	0.320513	1	1	1	1	1	11.3906	37876.8	437.894	6.28767	53.9275	11.8888	28.69	1.58598	10.9425	
  4000	-58497	-1327.34	-11629.7	-3122.7	0.0198154	1	0.187654	10.6579	0.744221	0.032186	19.9771	1.13962	645	99	181	-29949.8	14.4446f	29.1904	4	1	1	0	0	0	0	0	0	0	0	0.9	0.900763	0.29771	0.482143	0.728682	0	0	0	1	0.0984849	0.198895	1	1	1	1	1	38.4434	1.10573e+07	11222.7	6.28767	53.9275	50.6989	38.1644	14.4446	29.1904	
  5000	-59454.3	-1327.34	-12587	-3367.16	0.0244387	1	0.187654	10.6579	0.917862	0.0120277	19.9771	0.924026	710	99	193	-29949.8	47.2225f	66.8767	4	1	1	0	0	0	0	0	0	0	0	0.890909	0.895105	0.232877	0.477876	0.791667	0	0	0	1	0.236111	0.149733	1	1	1	1	1	129.746	2.15197e+09	37876.8	6.28767	53.9275	50.6989	38.1644	47.2225	66.8767	
  6000	-59772.9	-1327.34	-12905.5	-3491.96	0.022868	1	0.159365	12.5498	0.729391	0.0205528	19.9771	1.3692	743	99	186	-29949.8	42.8683f	20.6742	4	1	1	0	0	0.029703	0	0	0	0	0	0.927273	0.90411	0.256757	0.509259	0.751724	0	0	0	1	0.141892	0.224719	1	0.666667	1	1	1	291.929	1.4135e+12	1.6586e+07	6.28767	53.9275	61.8704	32.2609	42.8683	20.6742	
  7000	-61084.5	-1327.34	-14217.1	-3824.04	0.0253909	1	0.173998	11.4944	0.805239	0.0341822	19.5152	1.13593	834	99	195	-29949.8	82.0082f	26.6678	4	1	1	0.168317	0.19802	0.029703	0	0	0	0	0	0.918182	0.95092	0.251497	0.490385	0.746988	0	0	0.0891089	1	0.13253	0.149485	0.666667	0.666667	0.666667	1	1	985.261	1.39267e+15	8.39666e+07	6.28767	53.9275	61.8704	32.2609	82.0082	26.6678	
  8000	-61039.1	-1327.34	-14171.8	-3809.88	0.0274844	1	0.163144	12.2591	0.817336	0.0515641	19.5157	1.19357	831	99	194	-29949.8	84.4261f	11.988	4	1	1	0.168317	0.19802	0.029703	0	0	0	0	0	0.9	0.89881	0.272189	0.491667	0.768293	0	0.118812	0.0891089	1	0.131737	0.138298	0.666667	0.666667	0.666667	1	1	2216.84	2.71041e+17	1.63415e+10	7.05232	56.8244	61.8704	32.2609	84.4261	11.988	
  9000	-62571.7	-1327.34	-15704.4	-4170.78	0.0295225	1	0.164664	12.146	0.886123	0.032893	19.5157	1.09076	933	99	216	-29949.8	87.5547f	52.9369	4	1	1	0.168317	0.19802	0.029703	0	0	0	0	0	0.909091	0.907609	0.247312	0.518868	0.759358	0	0.118812	0.0891089	1	0.153846	0.254545	0.666667	0.666667	0.666667	1	1	11222.7	5.27498e+19	1.4135e+12	7.05232	56.8244	63.9335	40.999	87.5547	52.9369	
 10000	-63395.1	-1327.34	-16527.8	-4398.73	0.0297979	1	0.167636	11.9306	0.901472	0.0173591	19.4669	1.05317	998	99	215	-29949.8	73.4022f	48.2393	4	1	1	0.168317	0.19802	0.029703	0	0	0	0	0	0.818182	0.939394	0.305	0.478261	0.807107	0	0.118812	0.0891089	1	0.155	0.152466	0.666667	0.666667	0.666667	1	1	37876.8	1e+20	3.62265e+13	7.05232	56.8244	63.9335	40.999	73.4022	48.2393	
