	X	Y
T0	-0.35494091452054943	-4.2234632918023465
T1	6.3306728199722855	-2.711709749441425
T2	6.404532129101075	-3.0496023722315386
T3	0.7031933502813236	-3.7266243938256083
T4	6.262219196028183	-2.6443132748844143
T8	-0.014129006979680392	-3.0661476461103976
T9	-1.1694528300283331	-1.875590466832569
T10	0.1712033356668899	-3.395798577390626
T11	-1.458621748872431	-2.3036964860456943
T12	0.08694104269982027	-3.066932789000638
T17	-0.11900622471448352	-1.9746893592607555
T18	0.053200602045918824	-2.356622867637421
T19	-0.0841398848419734	-2.368494048768767
T20	0.460108976095203	-3.0047379295837198
T21	0.05204574488302471	-2.356175634984381
T29	4.858856949100913	0.9292350350763645
T30	-0.6378783313994205	-1.9918468512895229
T31	-0.2763042054719102	-2.0797672305337658
T32	-0.8599186371532135	-1.437479300108341
T33	-0.8584587062769973	-1.762884548440756
